m_Label,m_TypeID,m_DisplayLevel,m_BreakRate,m_MaxSLD,m_MaxHP,m_MaxSP,m_AtkP,m_DefP,m_AtkM,m_DefM,m_Agi,m_Crt,m_CrtDef,m_EquipAtk,m_ResistAilmentID,m_ResistAilment,m_TacticalAssignID,m_SkillsID,m_Exp,m_Money,m_DropReward,m_EventDropRewards,m_StatusOffset,m_Bottle,m_Name,m_Level,m_Hp,m_Shield,m_RaceIndices,m_DisplaySpecialSkillGauge,m_GenerateSpecialSkillValueOrverTurn,m_ReduceSpecialSkillValueBreak,m_MaxSpecialSkillValue,m_id,
Forest_Enemy_03_004,6f,9,d100c8,2,198,18,118,19,118,16,84,70,130,12da00,0,99000000000000000000da00,3,20,10,68,10da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000100da00,c2da00,00da00,00da00,00de0023,17,
Forest_Enemy_04a_001,70,12,d100c8,3,245,24,133,19,133,15,94,73,138,1ada00,0,99000000000000000000da00,3,23,13,94,11da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000900da00,c2da00,00da00,00da00,00de0023,18,
Forest_Enemy_04a_002,71,12,d100c8,3,245,24,139,20,139,16,91,60,138,1ada00,0,99000000000000000000da00,3,24,17,84,12da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000a00da00,c2da00,00da00,00da00,00de0023,19,
Forest_Enemy_04a_003,72,12,d100c8,3,233,24,126,24,126,20,89,86,138,1ada00,0,99000000000000000000da00,3,25,15,92,13da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000b00da00,c2da00,00da00,00da00,00de0023,20,
Forest_Enemy_04a_004,73,12,d100c8,3,245,24,139,20,139,16,91,60,138,1ada00,0,99000000000000000000da00,3,26,17,84,14da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000c00da00,c2da00,00da00,00da00,00de0023,21,
Forest_Enemy_04b_001,70,12,d100c8,3,245,24,133,19,133,15,94,73,138,1ada00,0,99000000000000000000da00,3,28,13,94,15da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000900da00,c2da00,00da00,00da00,00de0023,22,
Forest_Enemy_04b_002,71,12,d100c8,3,245,24,139,20,139,16,91,60,138,1ada00,0,99000000000000000000da00,3,29,17,84,16da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000a00da00,c2da00,00da00,00da00,00de0023,23,
Forest_Enemy_04b_003,72,12,d100c8,3,233,24,126,24,126,20,89,86,138,1ada00,0,99000000000000000000da00,3,30,15,92,17da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000b00da00,c2da00,00da00,00da00,00de0023,24,
Forest_Enemy_04b_004,73,12,d100c8,3,245,24,139,20,139,16,91,60,138,1ada00,0,99000000000000000000da00,3,31,17,84,18da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000c00da00,c2da00,00da00,00da00,00de0023,25,
Forest_Enemy_06a_001,74,18,d100c8,4,410,36,135,33,135,29,96,82,152,24da00,0,99000000000000000000da00,3,33,24,144,19da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000d00da00,c2da00,00da00,00da00,00de0023,26,
Forest_Enemy_06a_002,75,18,d100c8,3,347,36,142,30,142,26,100,97,152,24da00,0,99000000000000000000da00,8,34,30,137,1ada00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000b00da00,c2da00,00da00,00da00,00de0023,27,
Forest_Enemy_06a_003,76,18,d100c8,4,410,36,135,33,135,29,96,82,152,24da00,0,99000000000000000000da00,3,35,24,144,1bda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000d00da00,c2da00,00da00,00da00,00de0023,28,
Forest_Enemy_06a_004,77,18,d100c8,3,378,36,142,29,142,25,101,85,152,24da00,0,99000000000000000000da00,3,36,32,135,1cda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000e00da00,c2da00,00da00,00da00,00de0023,29,
Forest_Enemy_06b_001,74,18,d100c8,4,410,36,135,33,135,29,96,82,152,24da00,0,99000000000000000000da00,3,39,24,144,1dda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000d00da00,c2da00,00da00,00da00,00de0023,30,
Forest_Enemy_06b_002,75,18,d100c8,3,347,36,142,30,142,26,100,97,152,24da00,0,99000000000000000000da00,8,40,30,137,1eda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000b00da00,c2da00,00da00,00da00,00de0023,31,
Forest_Enemy_06b_003,76,18,d100c8,4,410,36,135,33,135,29,96,82,152,24da00,0,99000000000000000000da00,3,41,24,144,1fda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000d00da00,c2da00,00da00,00da00,00de0023,32,
Forest_Enemy_06b_004,77,18,d100c8,3,378,36,142,29,142,25,101,85,152,24da00,0,99000000000000000000da00,3,42,32,135,20da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000e00da00,c2da00,00da00,00da00,00de0023,33,
Forest_Enemy_05_001,78,16,d100c8,2,357,32,151,24,151,20,99,66,148,20da00,0,99000000000000000000da00,3,45,33,105,21da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000f00da00,c2da00,00da00,00da00,00de0023,34,
Forest_Enemy_05_002,79,16,d100c8,2,357,32,151,24,151,20,99,66,148,20da00,0,99000000000000000000da00,3,46,33,105,22da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000f00da00,c2da00,00da00,00da00,00de0023,35,
Forest_Enemy_05_003,7a,16,d100c8,3,371,32,138,27,138,23,98,82,148,20da00,0,99000000000000000000da00,3,47,32,113,23da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000e00da00,c2da00,00da00,00da00,00de0023,36,
Forest_Enemy_05_004,7b,16,d100c8,3,350,32,138,27,138,23,95,94,148,20da00,0,99000000000000000000da00,3,48,29,119,24da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001000da00,c2da00,00da00,00da00,00de0023,37,
Snow_Enemy_01a_001,7c,1,d100c8,2,87,2,104,7,104,4,72,53,110,0ada00,0,99000000000000000000da00,2,50,3,20,25da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001100da00,c2da00,00da00,00da00,00de0023,38,
Snow_Enemy_01a_002,7d,1,d100c8,2,96,2,93,12,93,9,65,60,110,0ada00,0,99000000000000000000da00,3,51,4,19,26da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001200da00,c2da00,00da00,00da00,00de0023,39,
Snow_Enemy_01a_003,7e,1,d100c8,2,82,2,99,11,99,8,68,65,110,0ada00,0,99000000000000000000da00,2,52,3,19,27da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000b00da00,c2da00,00da00,00da00,00de0023,40,
Snow_Enemy_01a_004,7f,1,d100c8,2,91,2,99,10,99,7,69,56,110,0ada00,0,99000000000000000000da00,3,53,4,19,28da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000e00da00,c2da00,00da00,00da00,00de0023,41,
Snow_Enemy_01b_001,7c,1,d100c8,2,87,2,104,7,104,4,72,53,110,0ada00,0,99000000000000000000da00,2,55,3,20,29da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001100da00,c2da00,00da00,00da00,00de0023,42,
Snow_Enemy_01b_002,7d,1,d100c8,2,96,2,93,12,93,9,65,60,110,0ada00,0,99000000000000000000da00,3,56,4,19,2ada00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001200da00,c2da00,00da00,00da00,00de0023,43,
Snow_Enemy_01b_003,7e,1,d100c8,2,82,2,99,11,99,8,68,65,110,0ada00,0,99000000000000000000da00,2,57,3,19,2bda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000b00da00,c2da00,00da00,00da00,00de0023,44,
Snow_Enemy_01b_004,7f,1,d100c8,2,91,2,99,10,99,7,69,56,110,0ada00,0,99000000000000000000da00,3,58,4,19,2cda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000e00da00,c2da00,00da00,00da00,00de0023,45,
Snow_Enemy_02_001,d10080,7,d100c8,2,186,14,124,14,124,11,81,52,124,10da00,0,99000000000000000000da00,3,60,9,49,2dda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001300da00,c2da00,00da00,00da00,00de0023,46,
Snow_Enemy_02_002,d10081,7,d100c8,2,176,14,112,18,112,14,78,76,124,10da00,0,99000000000000000000da00,8,61,8,54,2eda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000100da00,c2da00,00da00,00da00,00de0023,47,
Snow_Enemy_02_003,d10082,7,d100c8,2,212,14,106,20,106,17,75,63,124,10da00,0,99000000000000000000da00,2,62,7,56,2fda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001400da00,c2da00,00da00,00da00,00de0023,48,
Snow_Enemy_02_004,d10083,7,d100c8,2,186,14,118,13,118,10,83,63,124,10da00,0,99000000000000000000da00,8,63,7,55,30da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001500da00,c2da00,00da00,00da00,00de0023,49,
Snow_Enemy_03_001,d10084,9,d100c8,2,180,18,118,20,118,17,83,80,130,12da00,0,99000000000000000000da00,3,66,9,69,31da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000100da00,c2da00,00da00,00da00,00de0023,50,
Snow_Enemy_03_002,d10085,9,d100c8,2,208,18,112,22,112,18,80,74,130,12da00,0,99000000000000000000da00,3,67,10,69,32da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000400da00,c2da00,00da00,00da00,00de0023,51,
Snow_Enemy_03_003,d10086,9,d100c8,2,190,18,124,16,124,12,88,67,130,12da00,0,99000000000000000000da00,8,68,8,71,33da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001600da00,c2da00,00da00,00da00,00de0023,52,
Snow_Enemy_03_004,d10087,9,d100c8,2,190,18,130,17,130,13,85,55,130,12da00,0,99000000000000000000da00,3,69,10,63,34da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001300da00,c2da00,00da00,00da00,00de0023,53,
Snow_Enemy_04a_001,d10088,12,d100c8,3,245,24,133,19,133,15,94,73,138,1ada00,0,99000000000000000000da00,3,72,13,94,35da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001500da00,c2da00,00da00,00da00,00de0023,54,
Snow_Enemy_04a_002,d10089,12,d100c8,3,255,24,126,23,126,19,90,75,138,1ada00,0,99000000000000000000da00,8,73,16,90,36da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000e00da00,c2da00,00da00,00da00,00de0023,55,
Snow_Enemy_04a_003,d1008a,12,d100c8,3,233,24,126,24,126,20,89,86,138,1ada00,0,99000000000000000000da00,3,74,15,92,37da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000b00da00,c2da00,00da00,00da00,00de0023,56,
Snow_Enemy_04a_004,d1008b,12,d100c8,3,245,24,139,20,139,16,91,60,138,1ada00,0,99000000000000000000da00,3,75,17,84,38da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000c00da00,c2da00,00da00,00da00,00de0023,57,
Snow_Enemy_04b_001,d10088,12,d100c8,3,245,24,133,19,133,15,94,73,138,1ada00,0,99000000000000000000da00,3,78,13,94,39da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001500da00,c2da00,00da00,00da00,00de0023,58,
Snow_Enemy_04b_002,d10089,12,d100c8,3,255,24,126,23,126,19,90,75,138,1ada00,0,99000000000000000000da00,8,79,16,90,3ada00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000e00da00,c2da00,00da00,00da00,00de0023,59,
Snow_Enemy_04b_003,d1008a,12,d100c8,3,233,24,126,24,126,20,89,86,138,1ada00,0,99000000000000000000da00,3,80,15,92,3bda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000b00da00,c2da00,00da00,00da00,00de0023,60,
Snow_Enemy_04b_004,d1008b,12,d100c8,3,245,24,139,20,139,16,91,60,138,1ada00,0,99000000000000000000da00,3,81,17,84,3cda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000c00da00,c2da00,00da00,00da00,00de0023,61,
Snow_Enemy_06a_001,d1008c,18,d100c8,4,410,36,135,33,135,29,96,82,152,24da00,0,99000000000000000000da00,6,84,24,144,3dda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001700da00,c2da00,00da00,00da00,00de0023,62,
Snow_Enemy_06a_002,d1008d,18,d100c8,3,396,36,135,32,135,28,97,90,152,24da00,0,99000000000000000000da00,3,85,32,137,3eda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001200da00,c2da00,00da00,00da00,00de0023,63,
Snow_Enemy_06a_003,d1008e,18,d100c8,3,347,36,142,30,142,26,100,97,152,24da00,0,99000000000000000000da00,3,86,30,137,3fda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000b00da00,c2da00,00da00,00da00,00de0023,64,
Snow_Enemy_06a_004,d1008f,18,d100c8,2,364,36,155,26,155,22,102,69,152,24da00,0,99000000000000000000da00,3,87,33,126,40da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000c00da00,c2da00,00da00,00da00,00de0023,65,
Snow_Enemy_06b_001,d1008c,18,d100c8,4,410,36,135,33,135,29,96,82,152,24da00,0,99000000000000000000da00,6,90,24,144,41da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001700da00,c2da00,00da00,00da00,00de0023,66,
Snow_Enemy_06b_002,d1008d,18,d100c8,3,396,36,135,32,135,28,97,90,152,24da00,0,99000000000000000000da00,3,91,32,137,42da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001200da00,c2da00,00da00,00da00,00de0023,67,
Snow_Enemy_06b_003,d1008e,18,d100c8,3,347,36,142,30,142,26,100,97,152,24da00,0,99000000000000000000da00,3,92,30,137,43da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000b00da00,c2da00,00da00,00da00,00de0023,68,
Snow_Enemy_06b_004,d1008f,18,d100c8,2,364,36,155,26,155,22,102,69,152,24da00,0,99000000000000000000da00,3,93,33,126,44da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000c00da00,c2da00,00da00,00da00,00de0023,69,
Snow_Enemy_05a_001,d10090,16,d100c8,3,403,32,131,31,131,27,93,79,148,20da00,0,99000000000000000000da00,2,96,24,120,45da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001400da00,c2da00,00da00,00da00,00de0023,70,
Snow_Enemy_05a_002,d10091,16,d100c8,3,350,32,138,27,138,23,95,94,148,20da00,0,99000000000000000000da00,6,97,29,119,46da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001000da00,c2da00,00da00,00da00,00de0023,71,
Snow_Enemy_05a_003,d10092,16,d100c8,2,357,32,151,24,151,20,99,66,148,20da00,0,99000000000000000000da00,3,98,33,105,47da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001300da00,c2da00,00da00,00da00,00de0023,72,
Snow_Enemy_05a_004,d10093,16,d100c8,2,357,32,144,23,144,19,102,79,148,20da00,0,99000000000000000000da00,3,99,26,117,48da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001100da00,c2da00,00da00,00da00,00de0023,73,
Snow_Enemy_05b_001,d10090,12,d100c8,3,278,24,120,26,120,23,85,73,138,1ada00,0,99000000000000000000da00,2,101,12,96,49da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001400da00,c2da00,00da00,00da00,00de0023,74,
Snow_Enemy_05b_002,d10091,12,d100c8,3,240,24,126,23,126,19,88,86,138,1ada00,0,99000000000000000000da00,6,102,15,95,4ada00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001000da00,c2da00,00da00,00da00,00de0023,75,
Snow_Enemy_05b_003,d10092,12,d100c8,2,245,24,139,20,139,16,91,60,138,1ada00,0,99000000000000000000da00,3,103,17,84,4bda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001300da00,c2da00,00da00,00da00,00de0023,76,
Snow_Enemy_05b_004,d10093,12,d100c8,2,245,24,133,19,133,15,94,73,138,1ada00,0,99000000000000000000da00,3,104,13,94,4cda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001100da00,c2da00,00da00,00da00,00de0023,77,
Plain_Enemy_01a_001,d10094,1,d100c8,2,87,2,104,7,104,4,72,53,110,0ada00,0,99000000000000000000da00,2,106,5,20,4dda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001800da00,c2da00,00da00,00da00,00de0023,78,
Plain_Enemy_01a_002,d10095,1,d100c8,2,82,2,99,11,99,8,68,65,110,0ada00,0,99000000000000000000da00,3,107,5,19,4eda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000b00da00,c2da00,00da00,00da00,00de0023,79,
Plain_Enemy_01a_003,d10096,1,d100c8,2,100,2,93,13,93,10,64,53,110,0ada00,0,99000000000000000000da00,2,108,6,20,4fda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001800da00,c2da00,00da00,00da00,00de0023,80,
Plain_Enemy_01a_004,d10097,1,d100c8,2,87,2,110,8,110,5,70,43,110,0ada00,0,99000000000000000000da00,3,109,6,18,50da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001800da00,c2da00,00da00,00da00,00de0023,81,
Plain_Enemy_01b_001,d10094,1,d100c8,2,87,2,104,7,104,4,72,53,110,0ada00,0,99000000000000000000da00,2,111,5,20,51da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001800da00,c2da00,00da00,00da00,00de0023,82,
Plain_Enemy_01b_002,d10095,1,d100c8,2,82,2,99,11,99,8,68,65,110,0ada00,0,99000000000000000000da00,3,112,5,19,52da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000b00da00,c2da00,00da00,00da00,00de0023,83,
Plain_Enemy_01b_003,d10096,1,d100c8,2,100,2,93,13,93,10,64,53,110,0ada00,0,99000000000000000000da00,2,113,6,20,53da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001800da00,c2da00,00da00,00da00,00de0023,84,
Plain_Enemy_01b_004,d10097,1,d100c8,2,87,2,110,8,110,5,70,43,110,0ada00,0,99000000000000000000da00,3,114,6,18,54da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001800da00,c2da00,00da00,00da00,00de0023,85,
Plain_Enemy_02_001,d10098,7,d100c8,2,186,14,124,14,124,11,81,52,124,10da00,0,99000000000000000000da00,3,116,9,49,55da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001900da00,c2da00,00da00,00da00,00de0023,86,
Plain_Enemy_02_002,d10099,7,d100c8,2,212,14,106,20,106,17,75,63,124,10da00,0,99000000000000000000da00,6,117,7,56,56da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000700da00,c2da00,00da00,00da00,00de0023,87,
Plain_Enemy_02_003,d1009a,7,d100c8,2,176,14,112,18,112,14,78,76,124,10da00,0,99000000000000000000da00,3,118,8,54,57da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001a00da00,c2da00,00da00,00da00,00de0023,88,
Plain_Enemy_02_004,d1009b,7,d100c8,2,186,14,118,13,118,10,83,63,124,10da00,0,99000000000000000000da00,8,119,7,55,58da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001600da00,c2da00,00da00,00da00,00de0023,89,
Plain_Enemy_03_001,d1009c,9,d100c8,2,216,18,112,23,112,19,79,67,130,12da00,0,99000000000000000000da00,6,122,8,72,59da00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000700da00,c2da00,00da00,00da00,00de0023,90,
Plain_Enemy_03_002,d1009d,9,d100c8,2,190,18,124,16,124,12,88,67,130,12da00,0,99000000000000000000da00,8,123,8,71,5ada00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001600da00,c2da00,00da00,00da00,00de0023,91,
Plain_Enemy_03_003,d1009e,9,d100c8,2,208,18,112,22,112,18,80,74,130,12da00,0,99000000000000000000da00,6,124,10,69,5bda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000200da00,c2da00,00da00,00da00,00de0023,92,
Plain_Enemy_03_004,d1009f,9,d100c8,2,190,18,130,17,130,13,85,55,130,12da00,0,99000000000000000000da00,3,125,10,63,5cda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001900da00,c2da00,00da00,00da00,00de0023,93,
Plain_Enemy_04_001,d100a0,12,d100c8,3,278,24,120,26,120,23,85,73,138,1ada00,0,99000000000000000000da00,3,128,12,96,5dda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93001a00da00,c2da00,00da00,00da00,00de0023,94,
Plain_Enemy_04_002,d100a1,12,d100c8,3,245,24,133,19,133,15,94,73,138,1ada00,0,99000000000000000000da00,3,129,13,94,5eda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000300da00,c2da00,00da00,00da00,00de0023,95,
Plain_Enemy_04_003,d100a2,12,d100c8,3,245,24,139,20,139,16,91,60,138,1ada00,0,99000000000000000000da00,3,130,17,84,5fda00,93000000,92ca00000000ca00000000,0,5549c3,5549c3,5549c3,5549c3,93000c00da00,c2da00,00da00,00da00,00de0023,96,
